benchmark,run,result
quadratic,baseline,785
quadratic,dce,783
quadratic,lvn,502
quadratic,cpf,781
quadratic,both,500
primes-between,baseline,574100
primes-between,dce,572102
primes-between,lvn,572102
primes-between,cpf,569441
primes-between,both,569441
birthday,baseline,484
birthday,dce,483
birthday,lvn,303
birthday,cpf,481
birthday,both,301
orders,baseline,5352
orders,dce,5351
orders,lvn,5351
orders,cpf,5351
orders,both,5351
sum-check,baseline,5018
sum-check,dce,5018
sum-check,lvn,5018
sum-check,cpf,5018
sum-check,both,5018
palindrome,baseline,298
palindrome,dce,295
palindrome,lvn,295
palindrome,cpf,293
palindrome,both,293
totient,baseline,253
totient,dce,253
totient,lvn,253
totient,cpf,253
totient,both,253
relative-primes,baseline,1923
relative-primes,dce,1914
relative-primes,lvn,1362
relative-primes,cpf,1912
relative-primes,both,1362
hanoi,baseline,99
hanoi,dce,84
hanoi,lvn,84
hanoi,cpf,84
hanoi,both,84
is-decreasing,baseline,127
is-decreasing,dce,121
is-decreasing,lvn,120
is-decreasing,cpf,118
is-decreasing,both,117
check-primes,baseline,8468
check-primes,dce,8419
check-primes,lvn,4336
check-primes,cpf,8370
check-primes,both,4287
sum-sq-diff,baseline,3038
sum-sq-diff,dce,3036
sum-sq-diff,lvn,1926
sum-sq-diff,cpf,3032
sum-sq-diff,both,1922
fitsinside,baseline,10
fitsinside,dce,10
fitsinside,lvn,10
fitsinside,cpf,10
fitsinside,both,10
fact,baseline,229
fact,dce,228
fact,lvn,167
fact,cpf,228
fact,both,167
loopfact,baseline,116
loopfact,dce,115
loopfact,lvn,87
loopfact,cpf,114
loopfact,both,86
recfact,baseline,104
recfact,dce,103
recfact,lvn,65
recfact,cpf,103
recfact,both,65
factors,baseline,72
factors,dce,72
factors,lvn,72
factors,cpf,72
factors,both,72
perfect,baseline,232
perfect,dce,232
perfect,lvn,232
perfect,cpf,231
perfect,both,231
bitshift,baseline,167
bitshift,dce,167
bitshift,lvn,120
bitshift,cpf,167
bitshift,both,120
digital-root,baseline,247
digital-root,dce,247
digital-root,lvn,247
digital-root,cpf,247
digital-root,both,247
up-arrow,baseline,252
up-arrow,dce,252
up-arrow,lvn,252
up-arrow,cpf,252
up-arrow,both,252
sum-divisors,baseline,159
sum-divisors,dce,159
sum-divisors,lvn,159
sum-divisors,cpf,158
sum-divisors,both,158
ackermann,baseline,1464231
ackermann,dce,1464231
ackermann,lvn,1464231
ackermann,cpf,1550598
ackermann,both,1550598
pythagorean_triple,baseline,61518
pythagorean_triple,dce,61518
pythagorean_triple,lvn,61518
pythagorean_triple,cpf,61518
pythagorean_triple,both,61518
euclid,baseline,563
euclid,dce,562
euclid,lvn,353
euclid,cpf,557
euclid,both,353
binary-fmt,baseline,100
binary-fmt,dce,100
binary-fmt,lvn,100
binary-fmt,cpf,100
binary-fmt,both,100
lcm,baseline,2326
lcm,dce,2326
lcm,lvn,2326
lcm,cpf,2326
lcm,both,2326
gcd,baseline,46
gcd,dce,45
gcd,lvn,45
gcd,cpf,45
gcd,both,45
catalan,baseline,659378
catalan,dce,659378
catalan,lvn,659378
catalan,cpf,659378
catalan,both,659378
armstrong,baseline,133
armstrong,dce,130
armstrong,lvn,130
armstrong,cpf,130
armstrong,both,130
pascals-row,baseline,146
pascals-row,dce,139
pascals-row,lvn,104
pascals-row,cpf,135
pascals-row,both,103
collatz,baseline,169
collatz,dce,168
collatz,lvn,168
collatz,cpf,168
collatz,both,168
sum-bits,baseline,73
sum-bits,dce,72
sum-bits,lvn,72
sum-bits,cpf,72
sum-bits,both,72
rectangles-area-difference,baseline,14
rectangles-area-difference,dce,14
rectangles-area-difference,lvn,14
rectangles-area-difference,cpf,14
rectangles-area-difference,both,14
mod_inv,baseline,558
mod_inv,dce,555
mod_inv,lvn,333
mod_inv,cpf,553
mod_inv,both,332
reverse,baseline,46
reverse,dce,46
reverse,lvn,39
reverse,cpf,45
reverse,both,38
fizz-buzz,baseline,3652
fizz-buzz,dce,3552
fizz-buzz,lvn,2198
fizz-buzz,cpf,3457
fizz-buzz,both,2103
bitwise-ops,baseline,1690
bitwise-ops,dce,1688
bitwise-ops,lvn,1688
bitwise-ops,cpf,1688
bitwise-ops,both,1688
